Inicio,Fim,IP
07/02/2023 10:00,07/02/2023 12:00,172.17.11
09/02/2023 08:00,09/02/2023 10:00,172.17.11
14/02/2023 10:00,14/02/2023 12:00,172.17.11
16/02/2023 08:00,16/02/2023 10:00,172.17.11
21/02/2023 10:00,21/02/2023 12:00,172.17.11
23/02/2023 08:00,23/02/2023 10:00,172.17.11
28/02/2023 10:00,28/02/2023 12:00,172.17.11
02/03/2023 08:00,02/03/2023 10:00,172.17.11
07/03/2023 10:00,07/03/2023 12:00,172.17.11
09/03/2023 08:00,09/03/2023 10:00,172.17.11
14/03/2023 10:00,14/03/2023 12:00,172.17.11
16/03/2023 08:00,16/03/2023 10:00,172.17.11
21/03/2023 10:00,21/03/2023 12:00,172.17.11
23/03/2023 08:00,23/03/2023 10:00,172.17.11
